# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10635
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=20 d=2.54268 t=10412
jia shuo 	假說	c=1 d=1 t=9148
jia su du 	加速度	c=1 d=1 t=3580
jia suo 	加鎖	c=1 d=1 t=1237
jia zai 	加載	c=7 d=2.42262 t=9695
jia zhang 	家長	c=1 d=1 t=8881
jia zhi 	價值	c=2 d=1 t=8818
jia zhi guan 	價值觀	c=1 d=1 t=3980
jian 	件	c=1 d=1 t=6104
jian 	鍵	c=2 d=1.51006 t=9689
jian 	間	c=2 d=1 t=6052
jian ce 	檢測	c=4 d=3.66749 t=710
jian cha 	檢查	c=3 d=1 t=6478
jian cheng 	簡稱	c=7 d=1.23457 t=6121
jian dan 	簡單	c=6 d=1.80104 t=6443
jian diao 	剪掉	c=1 d=1 t=942
jian duan 	簡短	c=1 d=1 t=191
jian fa 	減法	c=1 d=1 t=3371
jian guo 	見過	c=2 d=1.00001 t=7225
jian hang 	建行	c=2 d=1.58567 t=10065
jian ji 	剪輯	c=5 d=1 t=8865
jian jie 	簡介	c=1 d=1 t=1414
jian ju 	間距	c=1 d=1.09501 t=968
jian li 	建立	c=2 d=1 t=9806
jian pan 	鍵盤	c=1 d=1 t=4407
jian shao 	減少	c=1 d=1 t=811
jian shi 	件事	c=0 d=0.1 t=10358
jian shi 	簡史	c=1 d=1 t=4914
jian xiao 	減小	c=1 d=1 t=9909
jian xin 	艱辛	c=1 d=1 t=5855
jian yan 	檢驗	c=3 d=1.88692 t=6638
jian yi 	簡易	c=1 d=1 t=6210
jiang 	將	c=5 d=1.9802 t=9210
jiang 	講	c=12 d=7.74663 t=10288
jiang jie 	講解	c=4 d=1.00049 t=7569
jiang jie shi 	蔣介石	c=1 d=1 t=5931
jiang shu 	講述	c=4 d=3.27484 t=5508
jiang yi 	講義	c=1 d=1 t=7969
jiang yi xia 	講一下	c=1 d=1 t=6366
jiao 	交	c=1 d=1 t=10560
jiao 	叫	c=3 d=1.87372 t=8661
jiao 	焦	c=2 d=1.94176 t=6551
jiao ben 	腳本	c=2 d=1.00204 t=7976
jiao cai 	教材	c=3 d=1.01889 t=10044
jiao cheng 	教程	c=9 d=1.94133 t=6652
jiao du 	角度	c=2 d=1.96561 t=4198
jiao fei 	繳費	c=2 d=1.93239 t=10535
jiao jie 	交接	c=1 d=1 t=5232
jiao liu 	交流	c=2 d=1 t=3737
jiao ni 	教你	c=3 d=1.33729 t=6438
jiao qian 	交錢	c=2 d=1.96079 t=10501
jiao shen me 	叫什麼	c=1 d=1 t=7866
jiao shi 	教師	c=1 d=1 t=2053
jiao wu 	教務	c=3 d=2.22265 t=6878
jiao wu chu 	教務處	c=2 d=1.00026 t=8188
jiao wu xi tong ma 	教務系統嗎	c=1 d=1 t=4858
jiao xue 	教學	c=5 d=1.01371 t=7024
jiao yang 	教養	c=0 d=0.1 t=4532
jiao yu 	教育	c=1 d=1 t=1562
jiao zhan 	交戰	c=1 d=1 t=3995
jiao zuo 	叫做	c=2 d=1.38481 t=9966
jie 	界	c=1 d=1 t=6757
jie 	皆	c=1 d=1 t=6105
jie chu 	接觸	c=2 d=1.0825 t=7208
jie dian 	結點	c=8 d=5.12992 t=2342
jie diao 	戒掉	c=1 d=1 t=4853
jie fang zhan zheng 	解放戰爭	c=1 d=1 t=5929
jie gou 	結構	c=12 d=3.00092 t=9586
jie gou xia 	結構下	c=1 d=1 t=2971
jie guo 	結果	c=6 d=1.0049 t=9874
jie ju 	結局	c=1 d=1 t=5898
jie jue 	解決	c=12 d=1 t=9094
jie kou 	接口	c=4 d=1.00021 t=5540
jie ma 	解碼	c=1 d=1 t=312
jie mi 	解密	c=2 d=1.00432 t=4900
jie mian 	界面	c=1 d=1 t=305
jie ping 	截屏	c=1 d=1 t=6566
jie qu 	截取	c=2 d=1.97045 t=5371
jie se 	戒色	c=1 d=1 t=2100
jie shang 	接上	c=1 d=1 t=3630
jie shao 	介紹	c=6 d=1 t=9274
jie shi 	解釋	c=1 d=1 t=1084
jie shou 	接受	c=2 d=1 t=9833
jie shou 	接收	c=1 d=1 t=9835
jie shu 	結束	c=5 d=1.21152 t=8364
jie suo 	解鎖	c=1 d=1 t=1238
jie wei 	結尾	c=6 d=1.00031 t=10151
jie xi 	解析	c=1 d=1 t=6164
jie xia lai 	接下來	c=1 d=1 t=9018
jie xian 	界限	c=1 d=1 t=6953
jie yue 	借閱	c=1 d=1 t=6271
jin 	近	c=2 d=1.99501 t=7918
jin bu qu 	進不去	c=1 d=1 t=10242
jin cheng 	進程	c=2 d=1 t=6051
jin du tiao 	進度條	c=1 d=1 t=2812
jin gang 	金剛	c=1 d=1 t=1574
jin gong 	僅供	c=14 d=1.0031 t=7180
jin gong 	進攻	c=0 d=0.1 t=1399
jin gong xue xi 	僅供學習	c=375 d=5.07739 t=8599
jin gong xue xi 	進攻學習	c=1 d=1 t=1400
jin jie 	進階	c=1 d=1 t=10261
jin jin 	僅僅	c=3 d=1 t=6490
jin jin shi 	僅僅是	c=1 d=1 t=3924
jin ke neng 	儘可能	c=0 d=0.1 t=2789
jin ke neng duo 	儘可能多	c=1 d=1 t=2790
jin li 	盡力	c=1 d=1 t=3397
jin mi 	緊密	c=2 d=1.00001 t=9161
jin nian 	今年	c=1 d=1 t=9102
jin rong 	金融	c=1 d=1 t=8841
jin ru 	進入	c=4 d=2.00632 t=9388
jin shan 	金山	c=3 d=2.00239 t=7159
jin tian 	今天	c=3 d=1.50417 t=7757
jin tian shi 	今天是	c=1 d=1 t=764
jin xing 	進行	c=5 d=1 t=9621
jin xing cao zuo 	進行操作	c=1 d=1 t=6519
jin xing xiu gai 	進行修改	c=1 d=1 t=6398
jing chang 	經常	c=1 d=1 t=7385
jing dong 	京東	c=3 d=1.99501 t=6886
jing guo 	經過	c=2 d=1 t=3919
jing jiang 	精講	c=1 d=1 t=1703
jing li 	精力	c=1 d=1 t=3683
jing li 	經歷	c=3 d=1.00003 t=7449
jing li guo 	經歷過	c=1 d=1 t=2005
jing shen 	精神	c=1 d=1 t=6335
jing sui 	精髓	c=1 d=1 t=2899
jing tai 	靜態	c=3 d=2.62488 t=520
jing tai ku 	靜態庫	c=1 d=1 t=483
jing tong 	精通	c=2 d=1 t=6031
jing xiang 	鏡像	c=4 d=1 t=7018
jing xue 	經學	c=1 d=1 t=3187
jing zheng 	競爭	c=1 d=1.07531 t=1219
jiu 	九	c=1 d=1 t=10027
jiu 	就	c=31 d=1.69553 t=10616
jiu 	舊	c=1 d=1 t=7514
jiu bi fang shuo 	就比方說	c=1 d=1 t=8782
jiu bu 	就不	c=0 d=0.1 t=2527
jiu bu can yu 	就不參與	c=1 d=1 t=2528
jiu bu neng 	就不能	c=2 d=1 t=10370
jiu bu yao 	就不要	c=1 d=1 t=4539
jiu bu yong 	就不用	c=1 d=1 t=777
jiu guo qu 	就過去	c=1 d=1 t=7891
jiu hen 	就很	c=0 d=0.1 t=4825
jiu hen lei le 	就很累了	c=1 d=1 t=4826
jiu hui 	就會	c=4 d=1 t=8116
jiu ke yi 	就可以	c=4 d=1.00001 t=10494
jiu mang 	就忙	c=1 d=1 t=7452
jiu mei 	就沒	c=0 d=0.1 t=7523
jiu mei shi jian 	就沒時間	c=1 d=1 t=7524
jiu neng 	就能	c=3 d=1.05163 t=8832
jiu sheng 	就省	c=1 d=1 t=7507
jiu shi 	就是	c=39 d=1.37729 t=10460
jiu wen ni yi xia 	就問你一下	c=1 d=1 t=7628
jiu xiang 	就像	c=4 d=1.5542 t=8964
jiu xing 	就行	c=1 d=1 t=8071
jiu ye 	就業	c=1 d=1 t=10477
jiu zhi jie 	就直接	c=2 d=1.31192 t=4709
jiu zhi neng 	就只能	c=1 d=1 t=6786
jiu zhi you 	就只有	c=1 d=1 t=2384
ju 	聚	c=0 d=0.1 t=5250
ju chang ban 	劇場版	c=1 d=1 t=3850
ju hua 	聚華	c=1 d=1 t=7831
ju ji 	聚集	c=1 d=1 t=5244
ju jie 	拒接	c=1 d=1 t=6935
ju jue 	拒絕	c=1 d=1 t=4123
ju li 	距離	c=1 d=1 t=9002
ju yi qi 	聚一起	c=1 d=1 t=5251
ju yong guan 	居庸關	c=1 d=1 t=3116
ju you 	具有	c=1 d=1 t=9725
ju yu dao 	菊與刀	c=1 d=1 t=4010
ju zhen 	矩陣	c=6 d=1.00072 t=4033
juan 	娟	c=1 d=1 t=2913
juan ji 	卷積	c=1 d=1 t=7259
juan mian 	卷面	c=1 d=1 t=7139
jue de 	覺得	c=3 d=1 t=8857
jue ding 	決定	c=1 d=1 t=9127
jue dui 	絕對	c=2 d=1.55156 t=562
jue xin 	決心	c=1 d=1 t=8976
jun 	俊	c=1 d=1 t=10228
jun 	君	c=1 d=0.815338 t=5523
jun shi 	軍事	c=1 d=1 t=5288
ka 	卡	c=6 d=4.90948 t=10146
ka fei 	咖啡	c=1 d=1 t=5914
kai 	開	c=1 d=1 t=10171
kai fa 	開發	c=14 d=1 t=10039
kai fang 	開方	c=1 d=1 t=9884
kai guan 	開關	c=2 d=1.4607 t=6894
kai hui 	開會	c=1 d=1 t=211
kai ji 	開機	c=2 d=1.74745 t=10635
kai lv 	開綠	c=1 d=1 t=4199
kai qi 	開啓	c=2 d=1 t=6893
kai shi 	開始	c=13 d=2.12238 t=9287
kai tong 	開通	c=1 d=1 t=7598
kai tou 	開頭	c=4 d=1.04712 t=9011
kai xiao 	開銷	c=1 d=1 t=1351
kai xue 	開學	c=1 d=1 t=7521
kai yuan 	開源	c=4 d=2.37034 t=6156
kan 	看	c=8 d=1.64584 t=7250
kan bu guan 	看不慣	c=1 d=1 t=3756
kan dao 	看到	c=2 d=1 t=8043
kan de 	看得	c=1 d=1 t=5203
kan dong 	看懂	c=1 d=1 t=7727
kan fa 	看法	c=1 d=1 t=9098
kan huang pian 	看黃片	c=1 d=1 t=2107
kan jian 	看見	c=2 d=1.00009 t=8775
kan jiao cai 	看教材	c=1 d=1 t=3316
kan qi 	看起	c=0 d=0.1 t=4435
kan qi lai 	看起來	c=4 d=1.55248 t=8679
kan qi ta ren 	看起他人	c=1 d=1 t=4436
kan wan 	看完	c=3 d=1 t=7656
kan wo de 	看我的	c=1 d=1 t=5083
kan yi xia 	看一下	c=3 d=1 t=10352
kang 	康	c=2 d=1 t=6186
kang lian 	抗聯	c=6 d=1 t=8458
kang ri 	抗日	c=9 d=1.00008 t=8006
kang zhan 	抗戰	c=1 d=1 t=5522
kao 	考	c=1 d=1 t=8260
kao bei 	拷貝	c=2 d=1 t=9326
kao cha 	考察	c=2 d=1.42956 t=7286
kao chang 	考場	c=1 d=1 t=10594
kao chong 	考蟲	c=5 d=2.01383 t=2696
kao lv 	考慮	c=2 d=1 t=4201
kao shi 	考試	c=10 d=1.00034 t=10054
kao shi ti 	考試題	c=2 d=1.01426 t=7066
kao wan shi 	考完試	c=1 d=1 t=8264
kao yan 	考研	c=30 d=1.1299 t=10407
kao yan 	考驗	c=1 d=1 t=796
kao yan ying yu 	考研英語	c=2 d=1.00514 t=7584
ke 	課	c=5 d=1.00867 t=8873
ke bian 	可變	c=3 d=2.92168 t=646
ke cheng 	課程	c=8 d=1.75969 t=10043
ke da 	科大	c=2 d=2.09005 t=3004
ke ge ke qi 	可歌可泣	c=1 d=1 t=5533
ke hu duan 	客戶端	c=1 d=1 t=6777
ke ji 	科技	c=7 d=1.00121 t=9200
ke ji fu li 	克己復禮	c=1 d=1 t=3248
ke jia 	可加	c=1 d=1 t=7026
ke jian 	可見	c=1 d=1 t=5546
ke jian 	課件	c=4 d=1.00001 t=10208
ke ju 	科舉	c=1 d=1 t=3143
ke neng 	可能	c=16 d=1.35014 t=10392
ke pu 	科普	c=2 d=1.99501 t=1492
ke shi 	可是	c=1 d=1 t=8124
ke tang 	課堂	c=4 d=1 t=10224
ke xue 	科學	c=1 d=1 t=10319
ke yi 	刻意	c=1 d=1 t=3948
ke yi 	可以	c=54 d=3.05895 t=10577
ke yi ma 	可以嗎	c=1 d=1 t=3310
ke yi zhi 	可移植	c=1 d=1 t=655
ke zhi xing 	可執行	c=3 d=1.99005 t=9693
ken ding 	肯定	c=4 d=1.81058 t=8236
ken ding shi 	肯定是	c=1 d=1 t=6706
kong 	空	c=1 d=1 t=2584
kong bai 	空白	c=1 d=1 t=9001
kong de 	空的	c=1 d=1 t=1177
kong ge 	空格	c=5 d=1.17765 t=9942
kong ge shu 	空格數	c=1 d=1 t=9220
kong jian 	空間	c=4 d=1.00053 t=7608
kong shou dao 	空手道	c=1 d=1 t=4002
kong zhi qi 	控制器	c=2 d=1.97045 t=2980
kong zhi quan 	控制權	c=2 d=1.9802 t=1344
kong zhi zai 	控制在	c=1 d=1 t=8518
kong zi 	孔子	c=1 d=1 t=3497
ku 	庫	c=7 d=1.21546 t=9952
ku han shu 	庫函數	c=1 d=1 t=894
ku wen jian 	庫文件	c=2 d=1.46161 t=576
kua 	跨	c=0 d=0.1 t=9448
kua wen jian 	跨文件	c=3 d=2.83249 t=9468
kuai 	快	c=1 d=1 t=794
kuai jie jian 	快捷鍵	c=6 d=3.3158 t=6592
kuai jin 	快進	c=1 d=1 t=308
kuai le 	快樂	c=1 d=1 t=4052
kuai su 	快速	c=5 d=2.39372 t=6326
kuan du 	寬度	c=1 d=1 t=8604
kuang 	礦	c=1 d=1 t=7713
kui jiu 	愧疚	c=1 d=1 t=8897
kuo hao 	括號	c=2 d=1.99501 t=6325
kuo rong 	擴容	c=1 d=1 t=7595
la ding yu 	拉丁語	c=1 d=1 t=7730
la hei 	拉黑	c=1 d=1 t=4977
la kai 	拉開	c=0 d=0.1 t=7426
la ta 	邋遢	c=1 d=1 t=4034
lai 	來	c=9 d=2.14832 t=9067
lai dui 	來對	c=1 d=1 t=1226
lai nong 	來弄	c=1 d=1 t=5252
lai shuo 	來說	c=3 d=1.00116 t=10570
lai yuan 	來源	c=32 d=1.2409 t=8609
lai yuan wang luo 	來源網絡	c=46 d=4.02919 t=5873
lan 	藍	c=1 d=1 t=7833
lan ben 	藍本	c=1 d=1 t=5507
lan guang 	藍光	c=3 d=2.78353 t=5215
lan jing ling 	藍精靈	c=1 d=1 t=4045
lan tian 	藍天	c=1 d=1 t=7044
lan tu 	藍圖	c=1 d=1 t=2075
lang 	朗	c=1 d=1 t=1860
lang fei 	浪費	c=1 d=1 t=4442
lao 	老	c=2 d=1 t=3876
lao die 	老爹	c=1 d=1 t=4845
lao ji qi 	老機器	c=1 d=1 t=341
lao shi 	老師	c=63 d=1.7655 t=10188
lao shi pin 	老視頻	c=5 d=1.45262 t=1836
lao wu fei 	勞務費	c=1 d=1 t=10174
le 	了	c=86 d=5.32042 t=10608
le ma 	了嗎	c=1 d=1 t=7596
lei 	累	c=1 d=1 t=7887
lei 	類	c=3 d=1 t=9736
lei bie 	類別	c=1 d=1 t=10333
lei cheng 	累乘	c=1 d=1 t=9896
lei le 	累了	c=1 d=1 t=7544
lei si 	類似	c=3 d=1 t=8471
lei tu 	類圖	c=1 d=1 t=1100
lei xing 	類型	c=4 d=2.06354 t=9660
leng men 	冷門	c=0 d=0.1 t=1374
li 	力	c=0 d=0.1 t=1841
li 	李	c=1 d=1 t=36
li 	裏	c=1 d=1 t=34
li gong 	理工	c=0 d=0.1 t=1704
li ji 	立即	c=1 d=1 t=6907
li jie 	理解	c=8 d=2.12366 t=4837
li lun 	理論	c=1 d=1 t=5290
li lun 	立論	c=2 d=1.00003 t=5289
li mian 	裏面	c=17 d=1.13578 t=10340
li nian 	歷年	c=2 d=1.97531 t=8276
li pin 	禮品	c=1 d=1 t=71
li san shu xue 	離散數學	c=1 d=1 t=2070
li shi 	歷史	c=10 d=1.00833 t=6606
li tang 	禮堂	c=1 d=1 t=10170
li ti 	例題	c=1 d=1 t=2670
li xian 	離線	c=1 d=1 t=7013
li xian ji 	歷險記	c=1 d=1 t=4691
li xue 	理學	c=2 d=1.52843 t=3265
li yong 	利用	c=1 d=1 t=6875
li yong le 	李永樂	c=1 d=1 t=1617
li yue 	禮樂	c=1 d=1 t=3188
li zhi 	勵志	c=1 d=1 t=139
lian 	聯	c=1 d=0.1 t=8628
lian 	連	c=1 d=1 t=280
lian 	鏈	c=0 d=0.1 t=8634
lian biao 	鏈表	c=5 d=1.00017 t=8684
lian hao 	連號	c=1 d=1 t=10148
lian jie 	鏈接	c=15 d=1.48419 t=10269
lian jie ku 	鏈接庫	c=5 d=1 t=9957
lian lian 	戀戀	c=3 d=1 t=7003
lian lian you ci 	戀戀有詞	c=3 d=1 t=8618
lian se 	臉色	c=1 d=1 t=8558
lian shi 	鏈式	c=2 d=1.01897 t=3054
lian tiao 	鏈條	c=2 d=1.99005 t=8655
lian tong 	連通	c=3 d=2.71486 t=2795
lian tong fen liang 	連通分量	c=1 d=1 t=2763
lian tong tu 	連通圖	c=4 d=3.74508 t=2786
lian wan tian 	聯完天	c=1 d=1 t=7469
lian xi 	練習	c=5 d=1.02597 t=8323
lian xi 	聯繫	c=2 d=1 t=5236
lian xi dao 	聯繫到	c=2 d=1.63128 t=4778
lian xu 	連續	c=1 d=1 t=8035
liang 	兩	c=1 d=0.1 t=9561
liang 	量	c=0 d=0.1 t=1287
liang duan 	兩端	c=1 d=1 t=2367
liang fen 	兩份	c=1 d=1 t=492
liang ge 	兩個	c=6 d=1.00795 t=8361
liang han 	兩漢	c=1 d=1 t=3186
liang jian 	亮劍	c=1 d=1 t=6332
liang jie 	諒解	c=1 d=1 t=4792
liang jie ke 	兩節課	c=0 d=0.1 t=6301
liang pian 	兩篇	c=0 d=0.1 t=7385
liang tian 	兩天	c=0 d=0.1 t=1060
liang wen jian 	兩文件	c=1 d=1 t=9562
liang xin 	良心	c=1 d=1 t=4207
liang zhong 	兩種	c=2 d=1.03143 t=1115
liang zi 	量子	c=1 d=1 t=2917
liao 	聊	c=1 d=1 t=7470
liao jie 	瞭解	c=2 d=1.50409 t=5465
lie 	列	c=0 d=0.1 t=6484
lie biao 	列表	c=2 d=1.29083 t=9504
lie chu 	列出	c=6 d=2.06175 t=6644
lin jie 	鄰接	c=7 d=3.28234 t=2466
lin jie biao 	鄰接表	c=5 d=3.91798 t=2290
lin jie ju zhen 	鄰接矩陣	c=2 d=1.40657 t=2298
ling ji chu 	零基礎	c=1 d=1 t=3815
ling min 	靈敏	c=1 d=1 t=7297
ling sheng 	鈴聲	c=1 d=1 t=9741
ling yi ge 	另一個	c=3 d=1 t=9137
ling yu 	領域	c=1 d=1 t=8842
liu 	六	c=2 d=1.00015 t=10022
liu 	劉	c=3 d=0.110608 t=7721
liu 	流	c=1 d=1 t=6947
liu bin 	劉彬	c=1 d=1 t=7914
liu cheng tu 	流程圖	c=1 d=1 t=215
liu ji 	六級	c=2 d=1.99005 t=1916
liu lan qi 	瀏覽器	c=1 d=1 t=9383
liu lang 	流浪	c=1 d=1 t=3860
liu lao shi 	劉老師	c=1 d=1 t=7722
liu li 	流利	c=1 d=1 t=7269
liu pai 	流派	c=1 d=1 t=3119
liu qiang 	劉強	c=1 d=1 t=7049
liu xia 	留下	c=2 d=1 t=9599
liu yan 	流言	c=1 d=1 t=2093
lu 	錄	c=1 d=1 t=3804
lu jing 	路徑	c=17 d=1.19266 t=9940
lu jiu yuan 	陸九淵	c=1 d=1 t=3280
lu yin 	錄音	c=2 d=1 t=8280
lu zhi 	錄製	c=1 d=1 t=125
lun dao 	輪到	c=1 d=1 t=8985
lun wen 	論文	c=1 d=1 t=9743
lun xian 	淪陷	c=1 d=1.01451 t=5900
luo 	羅	c=1 d=1 t=2943
luo ji 	邏輯	c=1 d=1 t=3853
luo ji si wei 	邏輯思維	c=1 d=1 t=3591
lv 	綠	c=1 d=1 t=2885
lv cheng 	旅程	c=1 d=1 t=2838
lv you 	旅遊	c=1 d=1 t=4084
ma 	嗎	c=17 d=4.01008 t=10598
ma 	碼	c=4 d=2.9171 t=7870
ma fan 	麻煩	c=0 d=0.1 t=7750
ma sai ke 	馬賽克	c=1 d=1 t=1632
ma shang 	馬上	c=1 d=1 t=2095
ma yun 	碼雲	c=2 d=1 t=9080
mai 	買	c=1 d=0.1 t=7868
mai de 	買的	c=4 d=1 t=7607
mai le 	買了	c=2 d=1.29229 t=4474
mai wan 	買完	c=1 d=1 t=4707
mai wan 	賣完	c=1 d=1 t=4706
mai yi xia 	買一下	c=1 d=1 t=7869
mai zi 	麥子	c=1 d=1 t=3415
man 	慢	c=1 d=1 t=830
man 	滿	c=3 d=1.49241 t=7188
man man 	慢慢	c=2 d=1 t=7493
man man 	滿滿	c=1 d=1 t=7494
mang ba 	忙吧	c=2 d=0.112688 t=8528
mao dun 	矛盾	c=4 d=2.20588 t=4742
mao he lao shu 	貓和老鼠	c=1 d=1 t=2879
mao ze dong 	毛澤東	c=1 d=1 t=5933
mei 	梅	c=4 d=1.81936 t=7445
mei 	沒	c=12 d=1.66465 t=10177
mei ci 	每次	c=3 d=1.00003 t=9556
mei de dao 	沒得到	c=1 d=1 t=8183
mei dui 	每對	c=1 d=1 t=2715
mei duo da 	沒多大	c=1 d=1 t=8107
mei fa xian 	沒發現	c=1 d=1 t=10387
mei ge 	每個	c=5 d=1.32442 t=9272
mei guan xi 	沒關係	c=1 d=1 t=4838
mei guo 	美國	c=2 d=1.68386 t=5377
mei guo ren 	美國人	c=1 d=1 t=9189
mei hao 	美好	c=2 d=1 t=5860
mei hua 	美化	c=1 d=1 t=3920
mei jiao yang 	沒教養	c=1 d=1 t=4533
mei ju 	枚舉	c=1 d=1 t=2269
mei kao 	沒考	c=1 d=1 t=7313
mei lan fang 	梅蘭芳	c=1 d=1 t=5919
mei miao 	每秒	c=1 d=1 t=3034
mei na dao 	沒拿到	c=1 d=1 t=10431
mei shen me 	沒什麼	c=6 d=2.30584 t=8130
mei sheng ming 	沒聲明	c=1 d=1 t=4180
mei shi 	沒事	c=8 d=1.80867 t=8538
mei shi de 	沒事的	c=1 d=1 t=7535
mei tan chu 	沒彈出	c=1 d=1 t=5066
mei tian 	每天	c=3 d=1 t=10416
mei wen ti 	沒問題	c=5 d=1.00015 t=10112
mei xing yu 	沒性慾	c=1 d=1 t=2109
mei yi ge 	每一個	c=2 d=1.00541 t=9729
mei yong 	沒用	c=1 d=1 t=751
mei you 	沒有	c=30 d=2.0439 t=10434
mei zhao dao 	沒找到	c=0 d=0.1 t=10265
mei zhong 	每種	c=1 d=1 t=8362
mei zhou 	美洲	c=1 d=1 t=5192
men 	們	c=2 d=1 t=7667
men 	門	c=1 d=1 t=950
meng 	夢	c=2 d=1.00082 t=5270
mi bu 	彌補	c=1 d=1 t=7366
mi ji 	密集	c=0 d=0.1 t=5088
mi lao shu 	米老鼠	c=1 d=1 t=4054
mi ma 	密碼	c=2 d=1.89137 t=1024
mi ma xue 	密碼學	c=1 d=1 t=5994
mian dui 	面對	c=1 d=1 t=3203
mian fei 	免費	c=1 d=1 t=239
mian shi 	面試	c=1 d=1 t=2545
mian xiang 	面向	c=1 d=1 t=6002
miao 	秒	c=1 d=1 t=960
mie 	滅	c=1 d=1 t=3233
min gan 	敏感	c=1 d=1 t=3971
min jie 	敏捷	c=1 d=1 t=3797
ming 	名	c=4 d=0.110113 t=10442
ming bai le 	明白了	c=1 d=1 t=10235
ming dai 	明代	c=1 d=1 t=3148
ming ku 	命苦	c=1 d=1 t=6426
ming ling 	命令	c=8 d=2.09369 t=9713
ming ling hang 	命令行	c=2 d=1 t=6428
ming ling xian 	命令線	c=1 d=1 t=3087
ming ming 	命名	c=1 d=1 t=9783
ming ming kong jian 	命名空間	c=1 d=1 t=895
ming tian 	明天	c=0 d=0.1 t=8493
ming tian kao shi 	明天考試	c=1 d=1 t=8494
ming zi 	名字	c=2 d=1.00006 t=9797
mo dian 	模電	c=1 d=1 t=1411
mo fa 	魔法	c=1 d=1 t=5265
mo kuai 	模塊	c=1 d=1 t=5549
mo ni 	模擬	c=4 d=3.52735 t=6278
mo ren 	默認	c=7 d=3.53974 t=10635
mo ren shi 	默認是	c=1 d=1 t=2393
mo shi 	模式	c=6 d=2.00085 t=9472
mo xing 	模型	c=3 d=1 t=9809
mou dian 	某點	c=1 d=1 t=2722
mou ge 	某個	c=2 d=1.86502 t=9852
mou ge ren 	某個人	c=1 d=1 t=8770
mou yi 	某一	c=1 d=1 t=943
mou yi ge 	某一個	c=1 d=1 t=3823
mu 	木	c=1 d=1 t=3984
mu biao 	目標	c=3 d=1.99491 t=934
mu di 	目的	c=3 d=1.23347 t=5101
mu ke 	慕課	c=1 d=1 t=7033
mu lu 	目錄	c=13 d=4.5969 t=9537
mu lu xia 	目錄下	c=1 d=1 t=9677
n 	∩	c=3 d=1.94092 t=10619
na 	那	c=10 d=2.73017 t=10593
na bian 	那邊	c=0 d=0.1 t=10157
na bu da rao 	那不打擾	c=1 d=1 t=10187
na da rao 	那打擾	c=1 d=1 t=7617
na dong le 	那懂了	c=1 d=1 t=6834
na duo 	那多	c=0 d=0.1 t=7608
na duo bu hao yi si 	那多不好意思	c=1 d=1 t=7609
na ge 	那個	c=15 d=2.16676 t=8053
na ge ren 	那個人	c=1 d=1 t=4372
na ge shi pin 	那個視頻	c=1 d=1 t=4467
na hao ba 	那好吧	c=9 d=1.00013 t=10441
na ji 	那集	c=1 d=1 t=3866
na ke neng 	那可能	c=1 d=1 t=7611
na lao shi 	那老師	c=3 d=1.00595 t=8955
na li 	哪裏	c=4 d=1 t=10606
na ma fan 	那麻煩	c=1 d=1 t=7751
na me 	那麼	c=3 d=1 t=10128
na me duo 	那麼多	c=7 d=1.0079 t=8543
na ni 	拿你	c=1 d=1 t=7908
na ni 	那你	c=2 d=0.20113 t=8528
na ni mang ba 	那你忙吧	c=1 d=1 t=8529
na ren 	那人	c=0 d=0.1 t=5234
na ru 	納入	c=1 d=1.07531 t=2522
na wei 	那位	c=1 d=1 t=4670
na wo 	那我	c=9 d=2.73166 t=10552
na wo dong le 	那我懂了	c=2 d=1.00023 t=10634
na xie 	那些	c=0 d=0.1 t=3703
na xie xie 	那謝謝	c=1 d=1 t=10132
na xue jie 	那學姐	c=2 d=1.74826 t=10516
na yang 	那樣	c=1 d=1 t=5250
na zhong 	那種	c=1 d=1 t=833
nan 	男	c=1 d=1 t=3555
nan 	難	c=1 d=0.1 t=7192
nan dao 	難道	c=2 d=1 t=7931
nan dian 	難點	c=1 d=1 t=3390
nan du 	難度	c=1 d=1 t=8859
nan fang 	南方	c=2 d=1.8781 t=4374
nan fei 	南非	c=1 d=1 t=5372
nan jing 	南京	c=1 d=1 t=4012
nan kan 	難看	c=1 d=1 t=8972
nan pan duan 	難判斷	c=1 d=1 t=7193
nan ren 	男人	c=1 d=1 t=2110
nao 	腦	c=1 d=1 t=8533
nao 	鬧	c=0 d=0.1 t=4738
nao dong 	腦洞	c=0 d=0.1 t=2919
nao dong da kai 	腦洞大開	c=1 d=1 t=2920
nao zhe me 	鬧這麼	c=1 d=1 t=4739
ne 	呢	c=11 d=1.00003 t=10150
nei 	內	c=2 d=1 t=9152
nei bu 	內部	c=1 d=1 t=3168
nei cun 	內存	c=5 d=1 t=9719
nei he 	內核	c=2 d=1 t=9550
nei rong 	內容	c=18 d=1.31758 t=9035
nei rong shang 	內容上	c=1 d=1 t=3974
nei xin 	內心	c=1 d=1 t=8111
nei yuan 	內源	c=0 d=0.1 t=6655
neng 	能	c=5 d=1.1025 t=8186
neng bao cun 	能保存	c=1 d=1 t=5037
neng guo shang 	能過上	c=1 d=1 t=5859
neng la kai 	能拉開	c=1 d=1 t=7427
neng yong 	能用	c=1 d=0.1 t=10585
neng yong le 	能用了	c=1 d=1 t=10586
neng you 	能有	c=1 d=1 t=1202
